,SMILES
9160,[H]C(CCCCCCCC)=C(/[H])CCCCCCCC(=O)OCC(O)CO
9161,OC(=O)C1=CC2=C(C(O)=C1)C(=O)C1=C(C=CC=C1O)C2=O
9162,OC(=O)C1=CC(O)=C2C(CC3=C(C(O)=CC=C3)C2=O)=C1
9163,CC1=CC(=O)OC2=CC(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC=C12
9164,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O
9165,CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O
9166,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
9167,CC[N+](C)(CC)CCOC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
9168,OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O
9169,[98Tc].CCC1=CC=CC(CC)=C1NC(=O)CN(CC(O)=O)CC(O)=O.CCC1=CC=CC(CC)=C1\N=C(/[O-])CN(CC([O-])=O)CC([O-])=O
9170,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=C(O)C(=O)CC[C@]4([H])[C@@]3([H])CC[C@]12C)OC(=O)CCC1CCCC1
9171,CCOC1=CC2=C(NC3=C(C=CC(N)=C3)C2=N)C=C1
9172,CN(CC(O)=O)C(=N)NP(O)(O)=O
9173,[H]C(C(=O)OCC)=C1\SC(N2CCCCC2)C(=O)N1CC
9174,CCN(CCO)CCN1C(CC2=CC=CC=C2)=NC2=C1C(=O)N(C)C(=O)N2C
9175,COC(=O)[C@H]1[C@@H]2C[C@@H](C=C2)[C@H]1C(=O)OC
9176,CCOCCN(CC1=CC=C(CN(CCOCC)C(=O)C(Cl)Cl)C=C1)C(=O)C(Cl)Cl
9177,CCCCNCC(O)C1=CC=C(O)C=C1
9178,N[C@@H](CCC(O)=O)C(O)=O.N[C@@H](CCCNC(N)=N)C(O)=O
9179,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC(=C)[C@]2(O)C(=O)CO
9180,[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[O--].[Bi+3].[Bi+3].[Bi+3].[Bi+3].[Bi+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O
9181,[Na+].[O-][Cl]=O
9182,NC(=N)NCC1COC2=C(O1)C=CC=C2
9183,OC1=CC=C(C=C1)C1(OS(=O)(=O)C2=CC=CC=C12)C1=CC=C(O)C=C1
9184,CCCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1
9185,CC(C)=CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
9186,OC1=CC=C(C=C1S(O)(=O)=O)C1(OC(=O)C2=C1C(Br)=C(Br)C(Br)=C2Br)C1=CC(=C(O)C=C1)S(O)(=O)=O
9187,CCN(CC)CCC1=NC(=NO1)C1=CC=CC=C1
9188,OC(=O)CC1=C(N=C(S1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1
9189,OC(C(O)=O)C1=CC=CC=C1
9190,CN(C)CC(OC1=CC=CC=C1)OC1=CC=CC=C1
9191,[Fe++].N[C@@H](CC([O-])=O)C([O-])=O
9192,CC(C)C(CC=C)C(=O)NC(N)=O
9193,CC1=C2C=CC=NC2=C(O)C(Br)=C1
9194,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)C(O)=O
9195,CCC1(CC)C(=O)CCNC1=O
9196,CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O
9197,CC(C)CC(NC(C)=O)C(O)=O
9198,CCOC1O[C@H]([C@@H](COCC2=CC=CC=C2)OCC2=CC=CC=C2)[C@H](OCC2=CC=CC=C2)[C@H]1O
9199,CN1C=C(C(=O)C2=C1C=C(F)C=C2)S(C)=O
9200,CC(C)C1(CC(Br)=C)C(=O)NC(=O)N(C)C1=O
9201,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
9202,[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O
9203,CCCCC1(COC(=O)CCC(O)=O)C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1
9204,CC(N)C(=O)OC(C)(C)CC1=CC=C(Cl)C=C1
9205,CCCOC(=O)CC1=CC(OC)=C(OCC(=O)N(CC)CC)C=C1
9206,OOB=O
9207,O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+].[Na+].[Sb+3].[O-]C1=C([O-])C(=CC(=C1)S([O-])(=O)=O)S([O-])(=O)=O.[O-]C1=C([O-])C(=CC(=C1)S([O-])(=O)=O)S([O-])(=O)=O
9208,CC(C)(C)CC(C)(C)C1=CC=C(O)C(CC2=C(Cl)C=C(Cl)C=C2)=C1
9209,CCCCCC(C)N
9210,O[C@H]1CC[C@@H](CC1)NCC1=CC(Br)=CC(Br)=C1NC(=O)C1=CC=CS1
9211,[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4(O)C[C@H](CC[C@]4(C=O)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](OC)[C@H](O)[C@@H](C)O1)C1=CC(=O)OC1
9212,CCCC(=O)NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1OC(=O)CCC
9213,NC(=O)C1=CSC(=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
9214,NCC1=CC=C(C=C1)C(O)=O
9215,CN(C)C(=S)SSC(=S)N(C)C
9216,C1CN2CCC1C(C2)N1C2=CC=CC=C2CCC2=CC=CC=C12
9217,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C
9218,OC(=O)C1=CC=CC=C1C(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1
9219,[O--].[O--].[O--].[Mg++].[Si+4]
9220,[Cl-].C[S+](C)CC[C@H](N)C(O)=O
9221,NCC(O)C1=CC=C(O)C=C1
9222,CN1[C@H]2CC[C@@H]1CC(C2)=C1C2=CC=CC=C2CSC2=C1C=CC=C2
9223,CC(O)CC1(CC=C)C(=O)NC(=O)NC1=O
9224,CC[N+]1(CC)CCC(C1C)=C(C1=CC=CC=C1)C1=CC=CC=C1
9225,CCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O
9226,CN1CCN(CC1)C1=NC2=CC=CC=C2SC2=C1C=C(Cl)C=C2
9227,[Fe++].[O-]S([O-])(=O)=O
9228,CCOCCN(CC1=CC=C(OC2=CC=C(C=C2)[N+]([O-])=O)C=C1)C(=O)C(Cl)Cl
9229,CCCl
9230,O.O.O.N[C@@H]1CN(CC11CC1)C1=C(F)C=C2C(=O)C(=CN([C@@H]3C[C@@H]3F)C2=C1Cl)C(O)=O.N[C@@H]1CN(CC11CC1)C1=C(F)C=C2C(=O)C(=CN([C@@H]3C[C@@H]3F)C2=C1Cl)C(O)=O
9231,CC(=O)OC1CN2CCC1CC2
9232,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O.[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(=O)NCN1CCN(CCO)CC1)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O
9233,COC1=CC(=CC(OC)=C1OC)C(=O)OCCCN(C)CCN(C)CCCOC(=O)C1=CC(OC)=C(OC)C(OC)=C1
9234,[H][C@@]1(NC(=O)[C@H](N)C2=CC=C(O)C=C2)C(=O)N2C(C(O)=O)=C(CSC3=CNN=N3)CS[C@]12[H]
9235,OC(=O)CSC(SCC(O)=O)SCC(O)=O
9236,CC(=O)NC1=CC(=CC=C1O)[As](O)(O)=O
9237,OCC1=C(Cl)C=C(Cl)C=C1
9238,NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1
9239,CCN(CC)C1=NC(=NN)N=C(N1)N(CC)CC
9240,CCN1CCCC1CNC(=O)C1=CC(=CC=C1OC)S(=O)(=O)CC
9241,CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1
9242,ClC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O
9243,COC1=CC=C(C=C1)C1(NC(=O)N(CCN2CCCCC2)C1=O)C1=CC=C(OC)C=C1
9244,CCC1=C(C(=O)C2=CC(I)=C(O)C(I)=C2)C2=CC=CC=C2O1
9245,CCOC1=CC=C(NC(=O)CC(C)O)C=C1
9246,CCOC(=O)COC1=CC2=C(C=C1)C(C)=C(CCN(CC)CC)C(=O)O2
9247,[Al+3].CC(=O)CC([O-])=O.CC(=O)CC([O-])=O.CC(=O)CC([O-])=O
9248,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
9249,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC(C)=N1
9250,CC1=CC2=C(C=C1S(N)(=O)=O)S(=O)(=O)CCC2
9251,CCNC(C)CC1=CC=CC=C1
9252,CCCCC(C(O)=O)C(=O)N(NC1=CC=CC=C1)C1=CC=CC=C1
9253,CN(C)CCOCC(=O)NC12CC3CC(CC(C3)C1)C2
9254,CCOC(=O)C1=C[N+](C)=C2CCCC(C)N2C1=O
9255,F.F.CCCCCCCCCCCCCCCCCCN(CCO)CCCN(CCO)CCO
9256,OC(C1=CC2=CC=CC=C2O1)C1=CC=C(Cl)C=C1
9257,CN1CCC(CC1)=C1C2=CC=CC=C2SC2=CC=CC=C12
9258,OC[C@@H](NC(=O)CN=[N+]=[N-])[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O
9259,NC(=N)C1=CC=C(OCCCOC2=CC=C(C=C2)C(N)=N)C=C1
9260,OCCNC(=O)C=CC1=CC=CC=C1
9261,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C(=O)N2[C@H]1C(O)=O
9262,CCCCOCC(CN1C(=O)NC(=O)C(CC)(C1=O)C1=CC=CC=C1)OC(N)=O
9263,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1
9264,CN(C)CCC(C1=CC=CC=C1)C1=CC=C(C)C=C1
9265,CC1=NC2=C(C=C1)C(Cl)=CC(Cl)=C2O
9266,[H][C@@]1(CC[C@]2(O)[C@]3([H])CCC4=C[C@]([H])(CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@]1([H])O[C@@]([H])(C)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O)C1=COC(=O)C=C1
9267,COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(=O)NO)C2=C1
9268,CC(COC1=CC=CC=C1CC1=CC=CC=C1)N1CCCCC1
9269,[H][C@@]1(C2=CC=C(OCCN3CCCC3)C=C2)C2=C(OC(C)(C)[C@@]1([H])C1=CC=CC=C1)C=C(OC)C=C2
9270,CCOC1=CC(OCC)=C(OCC)C=C1C(=O)CCC(O)=O
9271,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N(CC(O)=O)C1CC2=C(C1)C=CC=C2
9272,COC(=O)[C@@H](N)CC1=CC=C(O)C(O)=C1
9273,CC(C(O)=O)C1=CC=C(NCC(C)=C)C=C1
9274,CC1=CC[C@H](C[C@@H]1O)C(C)(C)O
9275,CNCCC1=CC(OC(=O)C(C)C)=C(OC(=O)C(C)C)C=C1
9276,C[C@H](C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(F)C=C1
9277,[H][C@@]1(CCC2=CC(OC)=C(OC)C(OC)=C2C2=CC=C(OC)C(=O)C=C12)NC
9278,CCOC(=O)C(=CC1=NC=C(N1C)[N+]([O-])=O)C(C)=O
9279,CC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1
9280,OS(=O)(=O)CI
9281,O.O.O.O.O.O.O.O.O.O.O.O.[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Al+3].[Al+3].[O-]C([O-])=O
9282,ClC=C(Cl)Cl
9283,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CCCCC1
9284,[O-][N+](=O)C1=CC=C(O1)C=CC=N\NC(=O)C1=CC=C(S1)[N+]([O-])=O
9285,[Cl-].C[N+]1=C2C=C(N)C=CC2=CC2=C1C=C(N)C=C2
9286,COC1=CC=C(C=C1C(=O)NCC1=CC=CN=C1)C(=O)NCC1=CC=CN=C1
9287,CCCCNCC(=O)NC1=C(C)C=CC=C1Cl
9288,CC(C)C1=CC2=C(C)C=CC2=C(C)C=C1
9289,COS([O-])(=O)=O.COC1=CC(N)=CN=[N+]1C1=CC=CC=C1
9290,CCC1(CC)C(=O)NC=CC1=O
9291,CCCCOC(=O)CCC(=O)OCCCC
9292,CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(O2)C1=CC=CC=C1
9293,CS(=O)(=O)OC[C@@H](OS(C)(=O)=O)[C@@H](O)[C@H](O)[C@@H](COS(C)(=O)=O)OS(C)(=O)=O
9294,ClC1=CC2=C(C=C1)N(CC#C)C(=O)CN=C2C1=CC=CC=C1
9295,COC(=O)C1=CC=CC=C1C(=O)OC
9296,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C)OC1=CC=CC=C1)C(O)=O
9297,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@](C)(F)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
9298,C(COCCOCC1CO1)OCCOCC1CO1
9299,CCCCCCCCN[C@@H](C)[C@H](O)C1=CC=C(SC(C)C)C=C1
9300,CCNC1=NC(=O)C(O1)C1=CC=CC=C1
9301,CCOC(=O)CN1CCN(CC1)C(=O)C=CC1=CC(OC)=C(OC)C(OC)=C1
9302,OC1=CC2=C(SC(=O)O2)C=C1
9303,[NH2-].[Cl-].[Hg++]
9304,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)(O[C@@]21O)C(C)C
9305,CCCCOC1=CC=C(CC(=O)NO)C=C1
9306,O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1C(=O)C2=CC=CC=C2C1=O
9307,OCCSCCCCCCCCCCSCCO
9308,CN(C)CCN1N=C(CC2=CC=CC=C2)C2=CC=CC=C2C1=O
9309,CN1C(C=CC2=CC=NC(N)=N2)=NC=C1[N+]([O-])=O
9310,CCN1CCCC(C1)OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
9311,CN(C)CCO
9312,CCC(C)N(CC(O)C1=CC=CN1CC1=CC=CC=C1Cl)C(C)CC
9313,NC(=O)OCCCC1=CC=CC=C1
9314,[H][C@@](C)(CC)C(=O)O[C@]1([H])[C@]([H])(OC(C)=O)C2=C(OC1(C)C)C=CC1=C2OC(=O)C=C1
9315,CC1=CC=C2SC3=CC(C)=CC=C3SC2=C1
9316,NC(=O)OCC(O)C1=CC=CC=C1
9317,C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1
9318,O.O.O.O.[Mg++].N[C@@H](CC(O)=O)C([O-])=O.N[C@@H](CC(O)=O)C([O-])=O
9319,CN(C(=S)OC1=CC=C2[C@H]3CC[C@H](C3)C2=C1)C1=CC(C)=CC=C1
9320,CC(CC(C1=CC=CC=C1)C1=CC=CC=C1)N(C)C
9321,CCC(C(=O)NC(N)=O)C1=CC=CC=C1
9322,[H][C@]1(O)CN(C(C)=O)[C@@]([H])(C1)C(O)=O
9323,CC(C)=CCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1
9324,Cl
9325,CCOC(=O)COC1=CC=C2C(C)=C(CCN(CC)CC)C(=O)OC2=C1Cl
9326,CCNC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)C=C(OC)C(C)=C1C
9327,CC[N+]1(CC)CCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
9328,CC(C)C(Br)C(=O)NC(N)=O
9329,O=C(CC1=CC=C(C=C1)C1=CC=CC=C1)NC1=CC=CC=N1
9330,[H][C@]12N3CCC[C@@]1(CC)C[C@@](O)(N1C4=CC=CC=C4C(CC3)=C21)C(=O)OC
9331,O=C1CCC(=O)N1
9332,CCC=C(C)C1(CC)C(=O)NC(=O)NC1=O
9333,NCC(O)C1=CC(O)=CC=C1
9334,[Na+].OC([O-])=O.OC1=C(I)C=C(C2=CC=CN=C12)S(O)(=O)=O
9335,CN(C)C(C)(C)COC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
9336,[Na+].[O-]C(=O)C[N+]12CC[N+]34CC(=O)O[Fe--]13(OC(=O)C2)OC(=O)C4
9337,CCN(CC)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2
9338,OC(CI)CI
9339,CN(C)CCC=C1C2=CC=CC=C2C(C)(C)C2=CC=CC=C12
9340,COC1=CC=C2[C@H]3CC[C@]4(C)[C@H](O)[C@H](O)C[C@H]4[C@@H]3CCC2=C1
9341,[OH-].[Fe+3].CC1=C2[N-]C(C=C3/N=C(C=C4\[N-]C(=CC5=NC(=C\2)C(C=C)=C5C)C(C=C)=C4C)C(C)=C3CCC(O)=O)=C1CCC(O)=O
9342,[O-][N+](=O)O[Hg]C1=CC=CC=C1
9343,OCC(O)CN1C=C(I)C(=O)C(I)=C1
9344,[H][C@]12C[C@]([H])(C(=O)C=C1C)C2(C)C
9345,[Na+].[Na+].O[Hg]C1=C([O-])C(Br)=CC2=C1OC1=CC(=O)C(Br)=CC1=C2C1=CC=CC=C1C([O-])=O
9346,[H][C@]1(C[C@@]2([H])C[C@]3([H])N(CCC4=CC(OC)=C(OC)C=C34)C[C@]2([H])CC)NCCC2=CC(OC)=C(OC)C=C12
9347,CNCC(=O)C1=CC(O)=C(O)C=C1
9348,COC(CN1CCN(CCC(O)C2=CC=CC=C2)CC1)C1=CC=CC=C1
9349,NC(CCCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(O)=O
9350,C(CC1=NC(CC(C2=CC=CC=C2)C2=CC=CC=C2)=NO1)N1CCCCC1
9351,COC1=CC(=CC=C1)C(=O)CCN[C@@H](C)[C@H](O)C1=CC=CC=C1
9352,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@@H](CN2C)NC(=O)N(CC)CC
9353,[NH-]C1=C[N+](=NO1)N1CCOCC1
9354,[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@]([H])(CC[C@]4(C)[C@@]3([H])C[C@@]([H])(O)[C@]12C)O[C@@]1([H])C[C@]([H])(O)[C@]([H])(O[C@@]2([H])C[C@]([H])(O)[C@]([H])(O[C@@]3([H])C[C@]([H])(O)[C@]([H])(OC)[C@@]([H])(C)O3)[C@@]([H])(C)O2)[C@@]([H])(C)O1)C1=CC(=O)OC1
9355,OC(O)C(Cl)(Cl)Cl.CC(=O)NCC(O)=O
9356,COC1=C(OC)C=C2C(NC(C)=C2CCN2CCN(CC2)C2=CC=CC=C2)=C1
9357,[Na+].[Na+].[Na+].[Na+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
9358,CN(CC1(C)CCCO1)S(=O)(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O
9359,CCCCNC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
9360,CN1N(C(=O)C(NC(=O)C2=CC=CN=C2)=C1C)C1=CC=CC=C1
9361,CCCC(C)(CO[N+]([O-])=O)CO[N+]([O-])=O
9362,CCCC(=O)O[C@H]1[C@H](C)O[C@H](C[C@@]1(C)OC(=O)CC)O[C@@H]1[C@@H](C)O[C@@H](O[C@H]2[C@@H](CC=O)C[C@@H](C)[C@@H](O)C=CC=CC[C@@H](C)OC(=O)C[C@@H](O)[C@@H]2OC)[C@H](O)[C@H]1N(C)C
9363,ONC(=N)N\N=CC1=C(Cl)C=CC=C1Cl
9364,CN(CCCN1C2=CC=CC=C2CCC2=CC=CC=C12)CC(=O)C1=CC=C(Cl)C=C1
9365,CN(C)CCOC(=O)CCC(=O)OCC1=C(CO)C(O)=C(C)N=C1
9366,CCN(CC)CCC1(CCC(=O)NC1=O)C1=CC=CC=C1
9367,OC(CNC1=NC=CC=C1)C1=CC=CC=C1
9368,C1CCN2N=NN=C2CC1
9369,CC(C)C(=O)OCCC(SSC(CCOC(=O)C(C)C)=C(C)N(CC1=C(N)N=C(C)N=C1)C=O)=C(C)N(CC1=C(N)N=C(C)N=C1)C=O
9370,O=C(NCN1CCOCC1)C1=NC=CN=C1
9371,CO[C@H]1C[C@@]2(C)[C@@H](CC[C@@]2(O)C#C)[C@@H]2CCC3=CC(O)=CC=C3[C@@H]12
9372,COC1=CC(=CC(OC)=C1OC)C(=O)NC1CCCNC1
9373,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)[N+](C)(C)C
9374,CCC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O
9375,[H][C@]1(COC(=O)C2=CN=CC=C2)O[C@](O)(COC(=O)C2=CN=CC=C2)[C@@]([H])(OC(=O)C2=CN=CC=C2)[C@]1([H])OC(=O)C1=CN=CC=C1
9376,[OH-].[OH-].[OH-].[Fe+3]
9377,ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl
9378,FC1=CC=C(C=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1F
9379,[198Au]
9380,NC1=C(I)C=C(I)C(C(=O)N(CCC(O)=O)C2=CC=CC=C2)=C1I
9381,CC1=CC=C(NC2=NCCN2)C(Cl)=C1
9382,CCC(C)C(C)C1NC2=CC(Cl)=C(C=C2S(=O)(=O)N1)S(N)(=O)=O
9383,CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)C1=CC=CC=C1
9384,OC(=O)CC1=CN(N=C1C1=CC=C(Cl)C=C1)C1=CC=CC=C1
9385,CC(C)(OC1=CC=C(Cl)C=C1)C(=O)OCCCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
9386,ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=CC=C(SC2=CC=CC=C2)C=C1
9387,N\N=C1/NN=C2CCN(CC2=C1)C(=O)C1=CC=CC=C1
9388,CCC(=O)C1(CCN(CCOCCO)CC1)C1=CC=CC=C1
9389,CN1CCN=C(C2=CC=CC=C2)C2=C1C=CC(Cl)=C2
9390,CCCC(CC1=CC=CC=C1)N1CCCC1
9391,C(CN1CCCCC1)C(C1=CC=CC=C1)C1=CC=CC=C1
9392,O=C(OCC(COC(=O)C1=CN=CC=C1)(COC(=O)C1=CN=CC=C1)COC(=O)C1=CN=CC=C1)C1=CN=CC=C1
9393,CC(=O)NC1CCSC1=O
9394,CC(C)NC[C@H](O)COC1=CC=C(CC(N)=O)C=C1
9395,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(C(=O)NCCO)=C1I
9396,CC1(CCN2CCCCC2)C(=O)CCC2=CC=CC=C12
9397,CN1[C@@H]2CCC(C)(C)[C@@H]1C[C@@H](C2)OC(=O)C(O)(C1=CC=CS1)C1=CC=CS1
9398,CC(O)CN1C=NC2=C1C(=O)N(C)C(=O)N2C
9399,OC(CC(C1=CC=C(Cl)S1)C1=C(O)C2=CC=CC=C2OC1=O)C1=CC=C(Cl)C=C1
9400,CCOC(=O)NNC1=NN=C(C=C1)N(CC)CC(C)O
9401,[Xe]
9402,[H][C@@]12OC3=C(OC(=O)C4=CN=CC=C4)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@]2([H])OC(=O)C1=CN=CC=C1
9403,NCC(CC(O)=O)C1=CC=CC=C1
9404,[H][C@@]1(C[C@@](C)(O)[C@@H](OC(=O)CC)[C@H](C)O1)O[C@@H]1[C@@H](C)O[C@@]([H])(O[C@H]2[C@@H](CC=O)C[C@@H](C)[C@@H](O)C=CC=CC[C@@H](C)OC(=O)C[C@@]([H])(OC(=O)CC)[C@@H]2OC)[C@H](O)[C@H]1N(C)C
9405,CC(C)N1CCOC(C1)C1=CC=CC(=C1)C(F)(F)F
9406,COC1=CC=C2C[C@@H]3[C@@H]4CC=C(OC(C)=O)[C@@H]5OC1=C2[C@]45CCN3C
9407,CCCC[C@@H](O)C=C(C)C=CC=CC(=O)N1CCCC1=O
9408,CC(C)(OC1=CC=C(Cl)C=C1)C(=O)OCCCOC(=O)C1=CN=CC=C1
9409,CCC=C(C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1
9410,C[N+](C)(CCOC1=CC=CC=C1)CC1=CC=CC=C1
9411,CN(C)CCC=C1C2=C(COC3=CC=CC=C13)C1=CC=CC=C1O2
9412,NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
9413,COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C1CC1
9414,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC1C2=CC=CC=C2CCC2=C1C=CC=C2
9415,[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@]([H])(CC[C@]4(C)[C@@]3([H])C[C@@]([H])(O)[C@]12C)O[C@@]1([H])C[C@]([H])(O)[C@]([H])(O[C@@]2([H])C[C@]([H])(O)[C@]([H])(O[C@@]3([H])C[C@]([H])(OC(C)=O)[C@]([H])(O[C@]4([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]4([H])O)[C@@]([H])(C)O3)[C@@]([H])(C)O2)[C@@]([H])(C)O1)C1=CC(=O)OC1
9416,CCN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(C1=CC=CC=C1)C1=CC=CC=C1
9417,O=C1C(=O)C2=C(C=CC=N2)C2=C1N=CC=C2
9418,[H][C@]12SCC(CSC3=NC(C)=C(CC(O)=O)S3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)C1=CSC(N)=N1)C(O)=O
9419,CN([C@@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CC2)[C@H]1O5)C(=O)C=CC1=COC=C1
9420,CC(=O)OC1=CC=C(C=C1)C(=C1CCCCC1)C1=CC=C(OC(C)=O)C=C1
9421,[S--].[S--].[S--].[S--].[S--].[Sb+5].[Sb+5]
